"2014.03.21.7:09:00" "cpu.usage.average" "394" "2" "4.2"
"2014.03.21.7:09:00" "cpu.usage.average" "394" "7" "2.85"
"2014.03.21.7:09:00" "cpu.usage.average" "394" "5" "8.22"
"2014.03.21.7:09:00" "cpu.usage.average" "394" "0" "1.69"
"2014.03.21.7:09:00" "cpu.usage.average" "394" "1" "1.59"
"2014.03.21.7:09:00" "cpu.usage.average" "394" "" "3.37"
"2014.03.21.7:09:00" "cpu.usage.average" "394" "3" "1.72"
"2014.03.21.7:09:20" "cpu.usage.average" "394" "0" "2.26"
"2014.03.21.7:09:20" "cpu.usage.average" "394" "3" "1.17"
"2014.03.21.7:09:20" "cpu.usage.average" "394" "6" "2.72"
"2014.03.21.7:09:20" "cpu.usage.average" "394" "5" "9.26"
"2014.03.21.7:09:20" "cpu.usage.average" "394" "2" "1.72"
"2014.03.21.7:09:20" "mem.usage.average" "394" "" "31.33"
"2014.03.21.7:09:20" "cpu.usage.average" "394" "4" "3.43"
"2014.03.21.7:09:20" "cpu.usage.average" "394" "7" "0.67"
"2014.03.21.7:09:20" "cpu.usage.average" "394" "1" "2.25"
"2014.03.21.7:09:20" "cpu.usage.average" "394" "" "2.94"
"2014.03.21.7:09:40" "cpu.usage.average" "394" "7" "1.23"
"2014.03.21.7:09:40" "cpu.usage.average" "394" "2" "1.43"
"2014.03.21.7:09:40" "cpu.usage.average" "394" "0" "4.66"
"2014.03.21.7:09:40" "mem.usage.average" "394" "" "31.33"
"2014.03.21.7:09:40" "cpu.usage.average" "394" "6" "0.77"
"2014.03.21.7:09:40" "cpu.usage.average" "394" "" "2.26"
"2014.03.21.7:09:40" "cpu.usage.average" "394" "1" "5.47"
"2014.03.21.7:09:40" "cpu.usage.average" "394" "3" "0.67"
"2014.03.21.7:09:40" "cpu.usage.average" "394" "4" "1.72"
"2014.03.21.7:09:40" "cpu.usage.average" "394" "5" "2.13"
"2014.03.21.7:10:00" "cpu.usage.average" "394" "" "1.55"
"2014.03.21.7:10:00" "cpu.usage.average" "394" "1" "3.33"
"2014.03.21.7:10:00" "cpu.usage.average" "394" "5" "1.77"
"2014.03.21.7:10:00" "cpu.usage.average" "394" "3" "0.57"
"2014.03.21.7:10:00" "cpu.usage.average" "394" "4" "1.31"
"2014.03.21.7:10:00" "cpu.usage.average" "394" "2" "1.53"
"2014.03.21.7:10:00" "cpu.usage.average" "394" "0" "1.71"
"2014.03.21.7:10:00" "cpu.usage.average" "394" "6" "1.51"
"2014.03.21.7:10:00" "mem.usage.average" "394" "" "31.33"
"2014.03.21.7:10:00" "cpu.usage.average" "394" "7" "0.66"
"2014.03.21.7:10:20" "cpu.usage.average" "394" "0" "2.62"
"2014.03.21.7:10:20" "cpu.usage.average" "394" "3" "2.11"
"2014.03.21.7:10:20" "mem.usage.average" "394" "" "31.34"
"2014.03.21.7:10:20" "cpu.usage.average" "394" "2" "3.81"
"2014.03.21.7:10:20" "cpu.usage.average" "394" "" "2.72"
"2014.03.21.7:10:20" "cpu.usage.average" "394" "6" "2.02"
"2014.03.21.7:10:20" "cpu.usage.average" "394" "5" "3.75"
"2014.03.21.7:10:20" "cpu.usage.average" "394" "1" "1.65"
"2014.03.21.7:10:20" "cpu.usage.average" "394" "7" "4.03"
"2014.03.21.7:10:20" "cpu.usage.average" "394" "4" "1.79"
"2014.03.21.7:10:40" "cpu.usage.average" "394" "7" "1.74"
"2014.03.21.7:10:40" "cpu.usage.average" "394" "0" "2.53"
"2014.03.21.7:10:40" "cpu.usage.average" "394" "2" "1.58"
"2014.03.21.7:10:40" "cpu.usage.average" "394" "5" "1.35"
"2014.03.21.7:10:40" "cpu.usage.average" "394" "4" "4.65"
"2014.03.21.7:10:40" "cpu.usage.average" "394" "6" "1.09"
"2014.03.21.7:10:40" "cpu.usage.average" "394" "3" "2.15"
"2014.03.21.7:10:40" "mem.usage.average" "394" "" "31.33"
"2014.03.21.7:10:40" "cpu.usage.average" "394" "1" "1.72"
"2014.03.21.7:10:40" "cpu.usage.average" "394" "" "2.1"
"2014.03.21.7:11:00" "cpu.usage.average" "394" "4" "1.5"
"2014.03.21.7:11:00" "cpu.usage.average" "394" "5" "3.08"
"2014.03.21.7:11:00" "cpu.usage.average" "394" "6" "1.01"
"2014.03.21.7:11:00" "cpu.usage.average" "394" "7" "1.92"
"2014.03.21.7:11:00" "cpu.usage.average" "394" "3" "0.92"
"2014.03.21.7:11:00" "mem.usage.average" "394" "" "31.33"
"2014.03.21.7:11:00" "cpu.usage.average" "394" "1" "2.6"
"2014.03.21.7:11:00" "cpu.usage.average" "394" "2" "0.92"
"2014.03.21.7:11:00" "cpu.usage.average" "394" "0" "4.11"
"2014.03.21.7:11:00" "cpu.usage.average" "394" "" "2.01"
"2014.03.21.7:11:20" "cpu.usage.average" "394" "5" "2"
"2014.03.21.7:11:20" "cpu.usage.average" "394" "3" "1.26"
"2014.03.21.7:11:20" "cpu.usage.average" "394" "4" "2.94"
"2014.03.21.7:11:20" "cpu.usage.average" "394" "1" "1.3"
"2014.03.21.7:11:20" "mem.usage.average" "394" "" "31.33"
"2014.03.21.7:11:20" "cpu.usage.average" "394" "" "2.1"
"2014.03.21.7:11:20" "cpu.usage.average" "394" "6" "3"
"2014.03.21.7:11:20" "cpu.usage.average" "394" "7" "2.66"
"2014.03.21.7:11:20" "cpu.usage.average" "394" "0" "1.96"
"2014.03.21.7:11:20" "cpu.usage.average" "394" "2" "1.72"
"2014.03.21.7:11:40" "cpu.usage.average" "394" "3" "1.28"
"2014.03.21.7:11:40" "cpu.usage.average" "394" "" "2.13"
"2014.03.21.7:11:40" "mem.usage.average" "394" "" "31.32"
"2014.03.21.7:11:40" "cpu.usage.average" "394" "1" "2.23"
"2014.03.21.7:11:40" "cpu.usage.average" "394" "5" "2.65"
"2014.03.21.7:11:40" "cpu.usage.average" "394" "2" "1.38"
"2014.03.21.7:11:40" "cpu.usage.average" "394" "7" "3.42"
"2014.03.21.7:11:40" "cpu.usage.average" "394" "0" "1.48"
"2014.03.21.7:11:40" "cpu.usage.average" "394" "6" "3.01"
"2014.03.21.7:11:40" "cpu.usage.average" "394" "4" "1.61"
"2014.03.21.7:12:00" "cpu.usage.average" "394" "3" "1.49"
"2014.03.21.7:12:00" "cpu.usage.average" "394" "" "1.51"
"2014.03.21.7:12:00" "mem.usage.average" "394" "" "31.32"
"2014.03.21.7:12:00" "cpu.usage.average" "394" "0" "1.6"
"2014.03.21.7:12:00" "cpu.usage.average" "394" "7" "1"
"2014.03.21.7:12:00" "cpu.usage.average" "394" "1" "0.87"
"2014.03.21.7:12:00" "cpu.usage.average" "394" "5" "1.67"
"2014.03.21.7:12:00" "cpu.usage.average" "394" "2" "2.1"
"2014.03.21.7:12:00" "cpu.usage.average" "394" "6" "1.43"
"2014.03.21.7:12:00" "cpu.usage.average" "394" "4" "1.9"
"2014.03.21.7:12:20" "cpu.usage.average" "394" "0" "2.1"
"2014.03.21.7:12:20" "mem.usage.average" "394" "" "31.33"
"2014.03.21.7:12:20" "cpu.usage.average" "394" "" "1.97"
"2014.03.21.7:12:20" "cpu.usage.average" "394" "5" "2.51"
"2014.03.21.7:12:20" "cpu.usage.average" "394" "6" "1.57"
"2014.03.21.7:12:20" "cpu.usage.average" "394" "2" "1.14"
"2014.03.21.7:12:20" "cpu.usage.average" "394" "4" "2.09"
"2014.03.21.7:12:20" "cpu.usage.average" "394" "1" "3.62"
"2014.03.21.7:12:20" "cpu.usage.average" "394" "7" "1.84"
"2014.03.21.7:12:20" "cpu.usage.average" "394" "3" "0.86"
"2014.03.21.7:12:40" "cpu.usage.average" "394" "0" "2.58"
"2014.03.21.7:12:40" "cpu.usage.average" "394" "6" "1.45"
"2014.03.21.7:12:40" "cpu.usage.average" "394" "1" "3.41"
"2014.03.21.7:12:40" "cpu.usage.average" "394" "5" "2.92"
"2014.03.21.7:12:40" "cpu.usage.average" "394" "2" "0.66"
"2014.03.21.7:12:40" "mem.usage.average" "394" "" "31.32"
"2014.03.21.7:12:40" "cpu.usage.average" "394" "4" "1.64"
"2014.03.21.7:12:40" "cpu.usage.average" "394" "" "1.93"
"2014.03.21.7:12:40" "cpu.usage.average" "394" "7" "1.35"
"2014.03.21.7:12:40" "cpu.usage.average" "394" "3" "1.46"
"2014.03.21.7:13:00" "cpu.usage.average" "394" "4" "1.41"
"2014.03.21.7:13:00" "cpu.usage.average" "394" "6" "1.69"
"2014.03.21.7:13:00" "cpu.usage.average" "394" "3" "0.76"
"2014.03.21.7:13:00" "cpu.usage.average" "394" "2" "0.97"
"2014.03.21.7:13:00" "mem.usage.average" "394" "" "31.31"
"2014.03.21.7:13:00" "cpu.usage.average" "394" "5" "1.95"
"2014.03.21.7:13:00" "cpu.usage.average" "394" "0" "2.97"
"2014.03.21.7:13:00" "cpu.usage.average" "394" "7" "1.31"
"2014.03.21.7:13:00" "cpu.usage.average" "394" "" "1.64"
"2014.03.21.7:13:00" "cpu.usage.average" "394" "1" "2.07"
"2014.03.21.7:13:20" "cpu.usage.average" "394" "" "2.19"
"2014.03.21.7:13:20" "cpu.usage.average" "394" "7" "2.55"
"2014.03.21.7:13:20" "mem.usage.average" "394" "" "31.33"
"2014.03.21.7:13:20" "cpu.usage.average" "394" "6" "1.43"
"2014.03.21.7:13:20" "cpu.usage.average" "394" "4" "2.53"
"2014.03.21.7:13:20" "cpu.usage.average" "394" "3" "1.35"
"2014.03.21.7:13:20" "cpu.usage.average" "394" "2" "1.52"
"2014.03.21.7:13:20" "cpu.usage.average" "394" "1" "2.71"
"2014.03.21.7:13:20" "cpu.usage.average" "394" "0" "3.63"
"2014.03.21.7:13:20" "cpu.usage.average" "394" "5" "1.78"
"2014.03.21.7:13:40" "cpu.usage.average" "394" "1" "4.48"
"2014.03.21.7:13:40" "mem.usage.average" "394" "" "31.34"
"2014.03.21.7:13:40" "cpu.usage.average" "394" "3" "17.19"
"2014.03.21.7:13:40" "cpu.usage.average" "394" "5" "3.18"
"2014.03.21.7:13:40" "cpu.usage.average" "394" "" "4.46"
"2014.03.21.7:13:40" "cpu.usage.average" "394" "0" "1.85"
"2014.03.21.7:13:40" "cpu.usage.average" "394" "6" "1.26"
"2014.03.21.7:13:40" "cpu.usage.average" "394" "2" "2.6"
"2014.03.21.7:13:40" "cpu.usage.average" "394" "7" "1.5"
"2014.03.21.7:13:40" "cpu.usage.average" "394" "4" "3.66"
"2014.03.21.7:14:00" "cpu.usage.average" "394" "5" "1.36"
"2014.03.21.7:14:00" "cpu.usage.average" "394" "1" "2.7"
"2014.03.21.7:14:00" "cpu.usage.average" "394" "0" "3.25"
"2014.03.21.7:14:00" "cpu.usage.average" "394" "7" "0.62"
